brand,product_name,price,mrp,rating,review_count,review_text
safari,laptop_bag,619,3395,4.2,15100,"It's a nice bag with good capacity of total 30L with different compartments to well organised ur stuffs, quality of this bag is good as it justified the price. Strong enough to hold few things according to It's capacity. Not a school going bag but it can be considered for college going students and for daily backpacker to move around. Additional point is it got 1 year international warranty."
safari,laptop_bag,619,3395,4.2,15100,"Good quality, more spaces , material good"
safari,laptop_bag,619,3395,4.2,15100,"It's a nice bag with good capacity of total 30L with different compartments to well organised ur stuffs, quality of this bag is good as it justified the price"
safari,laptop_bag,619,3395,4.2,15100,It's very good and strong body also looks good colour awseome
safari,laptop_bag,619,3395,4.2,15100,"One of the best backpack we can buy with this price range. The quality, easiness, handling etc. are really good. I have done much analysis before buying it. But it was a great deal for me."
safari,compartment_bag,849,2999,4.2,1000,"The quality and print was great , the size was awesome and also 1 year warranty, it's best."
safari,compartment_bag,849,2999,4.2,1000,Average quality
safari,compartment_bag,849,2999,4.2,1000,Nice bag
safari,compartment_bag,849,2999,4.2,1000,Nice durable & stylish bag quality is very good.
safari,compartment_bag,849,2999,4.2,1000,very sturdy and good 
safari,college_bag,649,3396,4.2,3000,"Good quality backpack, exactly same as shown in the image"
safari,college_bag,649,3396,4.2,3000,Value for Money
safari,college_bag,649,3396,4.2,3000,"Rain cover included, materials feel durable and sturdy"
safari,college_bag,649,3396,4.2,3000,"All zips are in good condition except one which gets stuck sometimes, a bit frustrating"
safari,college_bag,649,3396,4.2,3000,very good and price is reasonable
safari,trolly_bag,4799,27997,4,5320,"The bag quality is really good and feels sturdy. The outer shell is strong, the design looks premium, and the wheels move smoothly overall. Size and storage are perfect for travel, and the finish is neat and classy."
safari,trolly_bag,4799,27997,4,5320,"The only reason for giving 4 stars instead of 5 is that there are minor scratches on the wheels, likely due to handling or drop point during delivery. It doesn’t affect functionality at all, but worth mentioning."
safari,trolly_bag,4799,27997,4,5320,Good quality. Best in this price range.
safari,trolly_bag,4799,27997,4,5320,"Great quality trolley bag. Smooth wheels, strong material, and good storage space. Very useful for travel."
safari,trolly_bag,4799,27997,4,5320,Good quality in lower cost. Highly recommend to everyone
safari,school_bag,1399,4699,3.9,36,"Good quality, more spaces , material good"
safari,school_bag,1399,4699,3.9,36,"The quality and print was great , the size was awesome and also 1 year warranty, it's best."
safari,school_bag,1399,4699,3.9,36,"I’m really disappointed with this bag. It doesn’t even have a proper bottle holder, which is such a basic feature these days. On top of that, the bag has very minimal compartments, making it difficult to organize anything. Everything just gets piled up in one space. Definitely not worth the money. I would not recommend this bag to anyone looking for convenience or practicality.I mean I know the brand and all but still you can't flare up your price just a compartment"
safari,school_bag,1399,4699,3.9,36,Nice durable & stylish bag quality is very good.
safari,school_bag,1399,4699,3.9,36,"I recently purchased the Safari backpack from Amazon, and I couldn’t be happier with my choice. The design is sleek and modern, making it perfect for both work and casual use. The material feels premium and durable, so I’m confident it will last for years."
vip,cabin_bag,5300,11000,4.4,20,The color is beautiful however the suitcase weighs more than 2kgs so that's incorrect information provided. It's more than 3kg weight!
vip,cabin_bag,5300,11000,4.4,20,"material used for the manufacturing does not appear to be of high quality, it looks to be very fragile. However, no keys are provided for the suitcases and also in instructions are given to set up locks."
vip,cabin_bag,5300,11000,4.4,20,Well product
vip,cabin_bag,5300,11000,4.4,20,bad build quality
vip,cabin_bag,5300,11000,4.4,20,I will recommand to others
vip,travel_bag,899,1700,4.3,899,Specious with two little pocket
vip,travel_bag,899,1700,4.3,899,Comfortable strap
vip,travel_bag,899,1700,4.3,899,Product is good . Worth buying
vip,travel_bag,899,1700,4.3,899,"Size is good for a trip of 2 to 3 days. Look is very nice. I got it around 800 but in sale you could get it on 700, which is a value of money product from a reputed company."
vip,travel_bag,899,1700,4.3,899,got a damage product
vip,duffle_bag,2785,4799,4.2,7,Very nice product
vip,duffle_bag,2785,4799,4.2,7,colour not as per the photo
vip,duffle_bag,2785,4799,4.2,7,broken handle
vip,duffle_bag,2785,4799,4.2,7,good product
vip,duffle_bag,2785,4799,4.2,7,Best among market place
vip,laptop_bag,4050,6750,4.2,16,Excellent for office laptop...comfort... looks good... enough space.. size is also good. Overall good for office people... I purposely purchased biege color as black color is very common.
vip,laptop_bag,4050,6750,4.2,16,While theses bags are good none of the fit actual true 17 inch laptops
vip,laptop_bag,4050,6750,4.2,16,So please look into the size of the bag and decid
vip,laptop_bag,4050,6750,4.2,16,"Nice ?? but if price will 2999/- then I will give 10star out of 5 star. Nice product, good quality"
vip,laptop_bag,4050,6750,4.2,16,love the bag
vip,cabin_trolly_bag,1699,4000,4.3,33000,"It is the best safari suitcase that I have received. I would recommend you to buy this . You can buy this if you are travelling for 14-15 days ( M). It's sturdiness , durability , space ,weight are all best."
vip,cabin_trolly_bag,1699,4000,4.3,33000,"The bag quality is really good and feels sturdy. The outer shell is strong, the design looks premium, and the wheels move smoothly overall. Size and storage are perfect for travel, and the finish is neat and classy."
vip,cabin_trolly_bag,1699,4000,4.3,33000,"Great quality trolley bag. Smooth wheels, strong material, and good storage space. Very useful for travel."
vip,cabin_trolly_bag,1699,4000,4.3,33000,"After using it for some time, I can confidently say this trolley bag is durable, stylish, and a reliable choice for frequent travelers."
vip,cabin_trolly_bag,1699,4000,4.3,33000,Good quality in lower cost. Highly recommend to everyone
skybags,laptop_bag,859,2400,4.2,1121,"The Skybags Lumous Laptop Backpack is spacious, stylish, and has lots of compartments for organizing everything easily. The quality, comfort, and value for money are excellent, making it a great pick for daily office or college use. Highly recommended for anyone looking for a compact yet roomy laptop backpack. Quality of the zip is also top notch. Color is same as shown in the image. NOTE: The backpack is BANGLADESH Origin"
skybags,laptop_bag,859,2400,4.2,1121,It’s also comfortable to carry because the shoulder straps are soft and padded.
skybags,laptop_bag,859,2400,4.2,1121,Good product
skybags,laptop_bag,859,2400,4.2,1121,"Bag is good, like above average."
skybags,laptop_bag,859,2400,4.2,1121,But the stitches near on the zips and the shoulders are weak. Even the stitches from the shoulders are coming off.
skybags,compartment_bag,649,3396,4.4,15123,"The storage capacity is good, easy to carry couple of clothes too."
skybags,compartment_bag,649,3396,4.4,15123,"The navy blue color gives the backpack a clean, premium look that feels equally appropriate in classrooms, offices, or on weekend trips. The design is modern without being flashy, making it a true unisex option. The stitching and overall finish reflect solid craftsmanship, immediately inspiring confidence in its long-term durability."
skybags,compartment_bag,649,3396,4.4,15123,"It's a nice bag with good capacity of total 30L with different compartments to well organised ur stuffs, quality of this bag is good as it justified the price. Strong enough to hold few things according to It's capacity. Not a school going bag but it can be considered for college going students and for daily backpacker to move around. Additional point is it got 1 year international warranty."
skybags,compartment_bag,649,3396,4.4,15123,"Ordered yesterday, received today before 24 hrs. Thanks for the safe delivery of the product."
skybags,compartment_bag,649,3396,4.4,15123,"The bag is nice. First I checked the quality. It is good in condition. Spacious for two/three books. Zip is also good and in working condition. Weightless, but after keeping the items during travel I may know."
skybags,laptop_bag,2099,5711,4.4,226,"Good built. spacious bag, stays upright even while empty. Good for travelling on a solo trip. Chains sometimes get stuck but usually they are smooth. Love the dedicated pockets and multiple sections to organise stuff."
skybags,laptop_bag,2099,5711,4.4,226,Good material and spacious
skybags,laptop_bag,2099,5711,4.4,226,It’s a really good product with good sturdy quality. I love the fact that it literally has 4 compartments and has an option to be even bigger. Zip sometimes fail but not bad. Overall good product
skybags,laptop_bag,2099,5711,4.4,226,"Bag is on good condition. Little difference original & photo but overall product is very good,I like it."
