brand,product_name,price,mrp,rating,review_count,review_text,sentiment,discount_pct,value_score,themes
safari,laptop_bag,619,3395,4.2,15100,"It's a nice bag with good capacity of total 30L with different compartments to well organised ur stuffs, quality of this bag is good as it justified the price. Strong enough to hold few things according to It's capacity. Not a school going bag but it can be considered for college going students and for daily backpacker to move around. Additional point is it got 1 year international warranty.",0.23939393939393935,81.76730486008836,0.000386743036177608,"durability, space"
safari,laptop_bag,619,3395,4.2,15100,"Good quality, more spaces , material good",0.6333333333333333,81.76730486008836,0.0010231556273559504,space
safari,laptop_bag,619,3395,4.2,15100,"It's a nice bag with good capacity of total 30L with different compartments to well organised ur stuffs, quality of this bag is good as it justified the price",0.39999999999999997,81.76730486008836,0.0006462035541195476,space
safari,laptop_bag,619,3395,4.2,15100,It's very good and strong body also looks good colour awseome,0.681111111111111,81.76730486008836,0.001100341051875785,durability
safari,laptop_bag,619,3395,4.2,15100,"One of the best backpack we can buy with this price range. The quality, easiness, handling etc. are really good. I have done much analysis before buying it. But it was a great deal for me.",0.675,81.76730486008836,0.0010904684975767368,
safari,compartment_bag,849,2999,4.2,1000,"The quality and print was great , the size was awesome and also 1 year warranty, it's best.",0.9333333333333332,71.69056352117373,0.001099332548095799,
safari,compartment_bag,849,2999,4.2,1000,Average quality,-0.15,71.69056352117373,-0.00017667844522968197,
safari,compartment_bag,849,2999,4.2,1000,Nice bag,0.6,71.69056352117373,0.0007067137809187279,
safari,compartment_bag,849,2999,4.2,1000,Nice durable & stylish bag quality is very good.,0.6699999999999999,71.69056352117373,0.0007891637220259128,durability
safari,compartment_bag,849,2999,4.2,1000,very sturdy and good ,0.44999999999999996,71.69056352117373,0.0005300353356890459,durability
safari,college_bag,649,3396,4.2,3000,"Good quality backpack, exactly same as shown in the image",0.35,80.88928150765607,0.0005392912172573189,
safari,college_bag,649,3396,4.2,3000,Value for Money,0.0,80.88928150765607,0.0,
safari,college_bag,649,3396,4.2,3000,"Rain cover included, materials feel durable and sturdy",0.0,80.88928150765607,0.0,durability
safari,college_bag,649,3396,4.2,3000,"All zips are in good condition except one which gets stuck sometimes, a bit frustrating",0.14999999999999997,80.88928150765607,0.0002311248073959938,zipper
safari,college_bag,649,3396,4.2,3000,very good and price is reasonable,0.5549999999999999,80.88928150765607,0.0008551617873651771,
safari,trolly_bag,4799,27997,4.0,5320,"The bag quality is really good and feels sturdy. The outer shell is strong, the design looks premium, and the wheels move smoothly overall. Size and storage are perfect for travel, and the finish is neat and classy.",0.44666666666666666,82.85887773690038,9.307494616934083e-05,"durability, wheels"
safari,trolly_bag,4799,27997,4.0,5320,"The only reason for giving 4 stars instead of 5 is that there are minor scratches on the wheels, likely due to handling or drop point during delivery. It doesnt affect functionality at all, but worth mentioning.",0.025,82.85887773690038,5.2094186288810175e-06,wheels
safari,trolly_bag,4799,27997,4.0,5320,Good quality. Best in this price range.,0.85,82.85887773690038,0.00017712023338195456,
safari,trolly_bag,4799,27997,4.0,5320,"Great quality trolley bag. Smooth wheels, strong material, and good storage space. Very useful for travel.",0.5446666666666667,82.85887773690038,0.00011349586719455444,"durability, wheels, space"
safari,trolly_bag,4799,27997,4.0,5320,Good quality in lower cost. Highly recommend to everyone,0.43,82.85887773690038,8.960200041675349e-05,
safari,school_bag,1399,4699,3.9,36,"Good quality, more spaces , material good",0.6333333333333333,70.22770802298362,0.0004527043126042411,space
safari,school_bag,1399,4699,3.9,36,"The quality and print was great , the size was awesome and also 1 year warranty, it's best.",0.9333333333333332,70.22770802298362,0.0006671431975220394,
safari,school_bag,1399,4699,3.9,36,"Im really disappointed with this bag. It doesnt even have a proper bottle holder, which is such a basic feature these days. On top of that, the bag has very minimal compartments, making it difficult to organize anything. Everything just gets piled up in one space. Definitely not worth the money. I would not recommend this bag to anyone looking for convenience or practicality.I mean I know the brand and all but still you can't flare up your price just a compartment",-0.14916666666666667,70.22770802298362,-0.00010662377888968311,space
safari,school_bag,1399,4699,3.9,36,Nice durable & stylish bag quality is very good.,0.6699999999999999,70.22770802298362,0.0004789135096497498,durability
safari,school_bag,1399,4699,3.9,36,"I recently purchased the Safari backpack from Amazon, and I couldnt be happier with my choice. The design is sleek and modern, making it perfect for both work and casual use. The material feels premium and durable, so Im confident it will last for years.",0.19999999999999998,70.22770802298362,0.0001429592566118656,durability
vip,cabin_bag,5300,11000,4.4,20,The color is beautiful however the suitcase weighs more than 2kgs so that's incorrect information provided. It's more than 3kg weight!,0.6583333333333333,51.81818181818182,0.00012421383647798743,
vip,cabin_bag,5300,11000,4.4,20,"material used for the manufacturing does not appear to be of high quality, it looks to be very fragile. However, no keys are provided for the suitcases and also in instructions are given to set up locks.",0.08,51.81818181818182,1.509433962264151e-05,
vip,cabin_bag,5300,11000,4.4,20,Well product,0.0,51.81818181818182,0.0,
vip,cabin_bag,5300,11000,4.4,20,bad build quality,-0.6999999999999998,51.81818181818182,-0.00013207547169811318,
vip,cabin_bag,5300,11000,4.4,20,I will recommand to others,0.0,51.81818181818182,0.0,
vip,travel_bag,899,1700,4.3,899,Specious with two little pocket,-0.1875,47.11764705882353,-0.0002085650723025584,
vip,travel_bag,899,1700,4.3,899,Comfortable strap,0.4,47.11764705882353,0.0004449388209121246,
vip,travel_bag,899,1700,4.3,899,Product is good . Worth buying,0.5,47.11764705882353,0.0005561735261401557,
vip,travel_bag,899,1700,4.3,899,"Size is good for a trip of 2 to 3 days. Look is very nice. I got it around 800 but in sale you could get it on 700, which is a value of money product from a reputed company.",0.74,47.11764705882353,0.0008231368186874305,
vip,travel_bag,899,1700,4.3,899,got a damage product,0.0,47.11764705882353,0.0,
